Year,Month,Day,Maximum Relative HumidityPct,Minimum Relative HumidityPct,Average Relative HumidityPct,Minimum Wind Chill Index Temperature,Maximum Wind SpeedMph,Minimum Wind SpeedMph,Average Wind SpeedMph,Standard Deviation of Wind Speed at 10m Mph,Maximum Wind GustMph,Maximum Wind Speed at 2m Mph,Minimum Wind Speed at 2m Mph,Average Wind Speed at 2m,Standard Deviation of Wind Speed at 2m Mph,Maximum Solar Radiation MJ/square meters,Total Solar Radiation MJ/square meters
2011,1,20,93.2,40.14,67.32,8.28,-996,-996,-996,-996,43.69,-996,-996,-996,-996,639.83,13.69
2011,1,21,91.7,30.41,60.9,3.77,16.25,0.07,7.75,3.36,20.47,13.53,0,5.58,3.22,634.71,12.17
2011,1,22,87.5,16.07,48.18,11.34,31.25,3.36,11.93,7.05,38.52,25.05,0,8.67,6.35,737.88,10.92
2011,1,23,75.9,41.45,56.1,14.88,22.55,2.57,13.16,4.89,28.5,18.21,0,10.21,4.79,754.67,12.25
2011,1,24,86.8,33.73,62.31,7.78,22.86,2.78,11.4,5.7,29.95,18.84,0,8.93,5.1,613.64,10.46
2011,1,25,97.2,32.7,67.56,19.57,17.11,2.67,7.73,2.34,22.86,13.86,2.25,5.43,2.19,669.8,15.18
2011,1,26,89.4,30.37,59.84,7.97,17.44,2.02,8.03,3.85,22.5,14.95,0,5.38,4.07,661.99,-996
2011,1,27,91.3,14.08,54.24,9.26,15.48,3.98,7.49,2.61,19.51,12.97,0,4.95,3.01,679.12,15.48
2011,1,28,76.65,10.47,40.98,20.35,16.66,2.59,8.75,2.94,21.12,14.07,1.23,5.37,2.86,681.64,15.62
2011,1,29,45.99,8.37,25.71,20.88,18.43,0.42,8.15,4.38,24.18,15.32,0,5.64,3.66,698.43,16.05
2011,1,30,85.5,30.68,70.09,20.92,31.43,2.71,15.1,6.73,39.46,25.9,1.26,12.48,5.84,689.19,7.88
2011,1,31,85.6,64.69,76.32,1.6,35.12,0.13,13.79,10.11,46.19,27.89,0,11.47,8.2,472.19,6.47
2011,2,1,92.5,61.28,77.78,-14.54,39.28,17.72,27.67,4.96,48.52,32.77,14.04,22.72,4.27,-996,-996
2011,2,2,70.27,48.36,61.14,-14.67,24.87,6.67,15.72,4.34,31.85,20.54,3.91,12.78,4.08,-996,-996
2011,2,3,80.1,35.22,60.19,-10.63,11.32,0.63,5.87,2.28,15.35,9.28,0.2,4.66,1.81,-996,-996
2011,2,4,93.3,57.64,75.42,9.72,11.16,2.56,6.57,1.9,14.76,9.35,2.21,4.84,1.5,-996,-996
2011,2,5,89.2,32.49,67.9,11.41,14.37,1.58,6.41,2.64,18.19,11.03,0,4.37,2.43,-996,-996
2011,2,6,88.6,56.77,74.7,27.66,23.13,2.23,13.55,4.88,29.66,18.95,0.17,10.5,4.65,-996,-996
2011,2,7,92.5,32.58,66.17,14.07,18.84,3.85,10.23,3.01,23.38,14.36,3.23,7.68,2.37,-996,-996
2011,2,8,87.6,45.98,67.43,-14.23,34.4,9.66,20.32,6.83,45.01,29.15,7,16.56,5.81,-996,-996
2011,2,9,87.6,50.43,72.34,-17.23,31.29,2.7,18.96,7.4,37.27,25.26,0,15.03,7.02,-996,-996
2011,2,10,85.3,34.55,64.25,-17.22,13.5,1.56,7.17,2.54,17.46,11.91,0,4.84,2.58,775.66,18.58
2011,2,11,85,22.93,55.68,2.53,10.14,0.07,4.24,2.01,11.62,7.94,0,2.9,1.76,764.74,18.32
2011,2,12,90,14.24,54.23,10.92,23.98,1.88,9.08,3.94,29.24,17.81,0,5.29,3.43,775.66,18.36
2011,2,13,85.7,17.26,48.75,17.23,13.6,1.81,7.79,2.81,17.24,10.23,0,3.99,2.7,774.82,18.65
2011,2,14,73.15,20.65,46.75,29.55,26.62,0.14,13.07,5.43,31.34,21.63,0,9.32,5.28,760.55,13.89
2011,2,15,86.8,15.1,50.89,21.23,15.43,0.08,6.44,3.19,19.89,12.53,0,4.19,3.11,768.94,18.61
2011,2,16,85,27.25,56.84,22.73,22.35,0.66,11.28,6.01,28.14,18.07,0,8.33,5.42,763.06,18.33
2011,2,17,98.3,16.32,61.87,-996,18.14,2.34,9.88,3.53,22.44,14.17,0,7.43,3.22,845.33,17.63
2011,2,18,86.6,27.71,48.31,39.07,22.15,1.96,10.34,4.8,29.66,18.5,0,7.59,4.7,766.42,17.55
2011,2,19,98.8,48.58,76.31,40.77,25.93,0.08,11.74,6.91,33.4,20.65,0,9.18,6.05,808.39,15.77
2011,2,20,95.6,18.4,60.01,-996,26.35,0.31,15.25,5.68,33.24,21.21,0,11.98,4.88,732.84,13.02
2011,2,21,82.3,25.46,51.76,21.7,26.08,5.29,14.47,5.44,32.3,20.58,2.09,11.07,5.29,823.5,18.04
2011,2,22,72.18,31.41,50.32,17.86,14.04,0.17,7.8,3.25,18.41,11.78,0,5.57,3.18,854.56,-996
2011,2,23,96.7,46.7,72.43,36.1,15.6,5.38,9.93,1.99,20.83,13.2,2.82,7.36,2.35,822.67,15.09
2011,2,24,99.5,37.13,78.04,21.93,32.12,0.36,15.34,8.26,38.52,25.3,0,11.87,6.66,894.02,18.04
2011,2,25,95.7,70.24,82.87,18.5,16.09,2.01,9.43,3.14,19.57,13.32,1.72,7.68,2.46,440.88,6.49
2011,2,26,100,39.94,82.24,19.93,12.65,1.11,6.69,2.99,16.15,10.4,0,5.05,2.48,900.73,14.44
2011,2,27,99.9,7.05,57.02,40.73,36.33,0.07,16.88,9.53,45.75,29.24,0,12.65,7.71,855.4,15.31
2011,2,28,71.75,18.6,41.19,23.85,34.61,3.12,15.22,8.1,54.51,27.02,2.31,11.68,6.65,849.53,21.27
2011,3,1,79.55,12.11,40.66,23.54,19.82,0.52,10.15,4.62,27.25,16.41,0,7.48,4.15,857.08,21.41
2011,3,2,68.39,17.51,41.38,36.12,22.17,6.09,13.09,3.78,29.15,18.12,3.54,10.27,3.57,834.42,20.48
2011,3,3,70.32,22.08,47.09,37,17.96,1.65,10.38,4.28,23.82,14.55,0.22,7.85,3.6,1003.15,15.88
2011,3,4,92.9,34.38,59.57,33.28,27.51,0.08,15.12,6.54,37.49,22.75,0,11.9,5.77,845.33,19.84
2011,3,5,61.01,15.63,40.06,23.29,26.46,6.21,15.47,5.31,34.27,21.21,2.76,11.96,5.07,874.71,21.6
2011,3,6,65.42,13.62,33.74,19.48,19.71,1.02,11.27,5.39,31.79,16.4,0,8.55,5.32,880.59,20.13
2011,3,7,77.61,30.47,47.13,42.73,25.59,9.8,17.59,2.98,31.43,20.38,8.59,14.1,2.34,760.55,14.07
2011,3,8,89.9,41.02,72.13,30.96,24.94,3.55,15.21,5.01,31.34,19.64,2.91,12.22,3.71,1019.94,18.26
2011,3,9,88.1,14.76,49.8,21.62,31.38,6.37,14.64,5.34,38.52,24.4,3.47,11.29,4.69,873.03,21.82
2011,3,10,72.93,15.25,39.77,18.03,17.26,3.38,8.97,2.98,23.17,14.46,1.86,6.28,2.89,884.78,22.76
2011,3,11,61.73,10.71,31.3,27.68,25.81,5.29,13.67,5.37,32.53,20.94,3.74,10.17,5.11,1063.59,22.03
2011,3,12,59.63,28.58,42.26,38.12,22.03,4.37,11.84,3.44,28.14,16.96,2.52,8.98,2.68,945.23,17.7
2011,3,13,77.39,38.17,58.97,30.89,25.52,7.52,15.69,4.36,31.43,20.85,6.48,12.49,3.6,888.14,18.21
2011,3,14,77.69,36.73,63.53,29.59,25.79,1.66,13.2,4.76,32.08,20.36,1.53,10.28,4.27,912.49,21.21
2011,3,15,93.2,30.58,61.71,22.39,16.76,0.26,9.12,3.78,22.57,14.45,0,6.83,3.86,980.48,18.07
2011,3,16,88.9,40.53,65.34,33.28,25.97,6.18,14.84,6.18,32.3,21.21,3.18,11.46,5.73,857.92,22.05
2011,3,17,96.3,11.05,53.03,-996,23.09,6.28,13.34,4.02,34.49,18.79,3.49,10.1,3.98,891.5,23.11
2011,3,18,76.43,42.88,58.59,40.19,22.97,4.63,15.34,4.33,29.95,17.67,1.37,11.58,3.94,886.46,22.89
2011,3,19,78.56,51.2,65.16,43.66,19.89,0.89,8.19,3.44,24.76,16.64,0,6.11,2.84,809.23,13
2011,3,20,83.3,42.4,64.67,-996,24.16,5.96,15.36,4.62,31.63,19.93,3.81,12.18,4.12,991.4,19.8
2011,3,21,94.8,52.34,73.07,-996,28.03,4.71,16.76,6.2,35.81,22.03,2.78,13.13,5.38,597.52,9.77
2011,3,22,77.42,8.06,41.48,-996,35.16,3.76,18.09,7.92,46.39,28.45,0.41,13.56,6.96,939.35,22.42
2011,3,23,48.73,11.96,28.16,30.03,22.86,3.28,9.99,3.71,29.75,18.41,2.04,6.53,3.93,943.55,25.22
2011,3,24,65.08,21.96,39.59,32.97,23.2,7.26,14.83,3.76,30.04,19.04,3.15,11.27,3.9,1003.15,23.28
2011,3,25,69.39,15.77,42.99,36.13,17.15,2.31,10.56,3.47,21.27,14.13,0,7.53,3.2,931.79,24.72
2011,3,26,83.6,44.96,68.34,31.57,25.01,2.4,15.23,5.04,30.62,19.73,0,11.53,4.61,1043.44,18.41
2011,3,27,94.8,74.08,83.78,29.13,21.56,1.88,9.81,3.64,27.04,16.02,1.41,7.33,2.53,235.63,4.26
2011,3,28,88.9,59.65,75.58,32.24,17.23,0.16,8.54,2.97,20.83,12.57,0.29,6.63,2.1,568.39,7.87
2011,3,29,97.3,64.22,86.65,22.82,20.42,1.44,13.96,4.43,26.75,16.06,0,10.35,4.11,511.98,6.79
2011,3,30,96.8,41.03,71.39,21.05,10.7,2.17,7.04,1.66,15.86,9.07,0.13,5.03,1.46,917.52,18.19
2011,3,31,95.4,16.81,51.41,29.7,21.36,0.07,7.3,4.5,31.05,17.87,0,5.28,3.85,954.46,23.52
2011,4,1,64.85,14.74,38.39,36.43,22.21,3.93,11.33,3.48,36.46,18.25,2.3,7.38,3.72,960.34,23.92
2011,4,2,66.82,21.44,45.15,38.74,23.31,0.49,13.06,6.41,31.94,20.15,0,10.23,6.07,938.51,25.36
2011,4,3,78.3,5.62,39.53,-996,38.65,11.16,22.4,5.17,51.45,30.24,8.63,18.11,4.3,1014.06,22.94
2011,4,4,54.16,10.49,30.04,32.54,42.7,0.07,21.85,10.5,53.87,34.11,0,17.05,8.84,982.16,25.5
2011,4,5,50.13,8.83,21.53,25.22,27.63,3.05,15.17,6.26,40.26,23.42,0,11.68,6.32,976.29,26.99
2011,4,6,45.17,7.3,24.19,41.95,26.42,4.63,14.72,4.05,35.37,21.88,2.71,11.03,3.79,983,25.42
2011,4,7,56.62,9.71,30.4,-996,32.57,0.74,12.1,7.23,41.07,26.69,0.26,8.96,6.61,947.74,23.87
2011,4,8,90.7,21.9,55.24,-996,20.51,2.05,10.8,3.54,27.85,17.57,0,8.34,3.59,1090.45,22.38
2011,4,9,92.4,12.34,50.82,-996,28.92,5,18.4,6.22,36.91,24.14,1.97,15.03,5.62,1004.83,22.17
2011,4,10,74.13,12.16,32.07,-996,29.33,3.97,15.23,5.17,37.63,24.52,0.5,11.87,4.66,1124.03,23.37
2011,4,11,56.6,11.88,27.1,-996,26.69,0.52,14.76,7.08,35.14,22.12,0,11.22,6.4,987.2,27.51
2011,4,12,61.7,10.62,30.24,34.67,22.84,0.57,10.73,5.64,29.44,19.1,0,8.53,5.33,1003.15,28.14
2011,4,13,65.04,16.23,36.26,44.22,24.07,6.04,15.5,4.3,36.24,20.22,3.65,12.63,4.11,941.03,23.63
2011,4,14,72.73,6.38,34.62,-996,34.96,9.39,20.1,6.62,46.84,26.64,6.4,15.42,4.97,998.11,26.71
2011,4,15,51.68,8.67,27.04,34.46,48.56,4.18,27.64,11.82,61.31,38.61,0,21.42,10.38,946.9,25.46
2011,4,16,47.99,9.47,23.64,27.2,19.71,1.55,9.27,4.98,27.04,16.2,0,6.74,4.82,997.27,26.12
2011,4,17,53.43,13.65,32.71,41.5,24.76,8.99,15.93,4.07,41.29,20.78,5.59,12.78,4.07,924.24,22.61
2011,4,18,65.76,7.38,29.06,-996,24.4,4.09,12.14,3.58,32.14,19.93,0,8.69,3.39,1151.73,24.75
2011,4,19,61.44,11.35,34.02,-996,29.68,2.07,13.46,5.16,36.62,23.2,1.4,9.83,4.27,983,26.99
2011,4,20,74.59,35.38,53.36,41.58,24.05,7.7,16.25,3.35,31.79,16.65,4.31,11.09,2.6,1044.28,17.68
2011,4,21,95.4,57.27,75.5,-996,17.23,1.25,9.85,2.84,24.63,14.65,0,7.52,2.91,787.41,8.78
2011,4,22,96.5,9.89,41.94,-996,22.97,2.34,13.54,5.63,30.33,19.08,0.53,10.21,4.63,1009.86,28.49
2011,4,23,84.2,25.95,48.69,-996,27.51,4.69,17.92,4.83,38.36,19.44,2.52,12.72,3.55,1036.73,18.62
2011,4,24,98.2,39.19,83.41,43.75,21.21,5.62,11.79,3.86,28.43,14.6,4.25,8.32,2.47,227.74,4.81
2011,4,25,99.7,33.42,79.59,47.01,28.86,0.89,9.41,4.96,36.33,21.88,0,7.02,4.01,993.91,17.55
2011,4,26,97,29.87,63.79,37.53,21.12,0.34,7.64,4.27,29.95,15.45,0,5.47,3.39,1059.39,24.09
2011,4,27,92.7,33.65,63.77,42.57,26.64,0.5,13.65,6.06,33.04,20.22,0,10.49,5.22,1161.8,13.86
2011,4,28,88.1,13.53,42.66,31.02,15.94,0.07,7.98,3.66,24.05,14.36,0,5.93,3.4,1030.85,30.08
2011,4,29,58.89,11.75,29.37,-996,39.46,9.57,24.25,8.91,50.64,33.11,6.86,19.88,7.73,1003.15,27.82
2011,4,30,44.75,15.91,27.83,-996,28.32,5.69,15.91,5.21,35.01,22.68,3.15,11.87,4.68,1027.49,29.81
2011,5,1,85.2,25.92,66.24,36.78,27.54,4.47,16.39,5.23,37.11,19.04,0.89,11.09,3.96,647.81,7.28
2011,5,2,87.5,13.38,49.29,36.36,19.95,0.61,9.7,3.52,27.92,16.34,0,6.67,3.3,1139.14,23.31
2011,5,3,80.1,13.52,40.71,31.61,19.28,1.12,9.37,4.29,33.4,16.45,0,7.21,4.37,1039.24,30.68
2011,5,4,87.3,9.4,36.53,35.25,28.81,5.74,16.51,6.81,38.07,24.45,2.2,13.3,6.47,1066.95,29.9
2011,5,5,62.82,13.4,32.89,-996,20.85,4.21,11.57,3.26,28.43,17.44,3.14,8.53,3.33,1040.92,30.23
2011,5,6,66.91,15.73,35.34,40.95,25.81,0.61,15.6,6.69,33.46,21.61,0,12.42,6.5,1009.86,29.46
2011,5,7,69.16,7.8,34.36,-996,20.11,1.32,10.4,4.05,26.66,16.72,1.19,7.78,3.46,1039.24,30.35
2011,5,8,74.06,6.34,34.4,-996,32.12,0.76,17.28,7.42,41.5,26.49,0.1,13.82,6.73,1017.42,27.45
2011,5,9,78.93,16.79,47.87,-996,33.4,8.12,18.27,6.86,42.39,27.45,4.98,15.04,5.96,1038.41,27.04
2011,5,10,79.22,47.43,60.48,-996,28.63,7.72,17.06,4.66,34.49,23.33,5.68,13.95,4.13,876.39,12.21
2011,5,11,98.2,43.36,81.82,-996,20.83,5.07,12.48,3.33,25.28,17,3.08,9.66,3.13,891.5,12.72
2011,5,12,99.8,16.09,54.71,-996,25.34,1.59,11.28,5.66,32.08,19.86,0.02,8.98,4.46,1031.69,29.88
2011,5,13,63.98,27.94,44.46,-996,26.35,4.25,17.06,4.71,34.43,20.47,2.29,13.28,4.39,1239.87,28.73
2011,5,14,74.91,23.9,46,39.79,23.87,4.19,12.75,4.07,30.18,19.33,1.44,9.36,4.1,1027.49,30.92
2011,5,15,69.77,23.14,42.05,43.89,18.23,2.51,8.94,2.68,23.38,13.01,0,6.43,2.79,1107.24,29.37
2011,5,16,69.13,23.76,45.31,44.07,19.33,1.16,8.03,3.1,27.11,12.93,0,5.75,2.2,1014.9,30.22
2011,5,17,78.89,26.98,50.33,-996,27.58,7.12,17.68,5.48,38.81,22.93,4.38,14.51,5.02,1024.13,23.54
2011,5,18,80.5,7.43,37.68,-996,26.31,6.55,17.26,4.84,35.88,21.9,4.55,14.11,4.21,1024.13,29.31
2011,5,19,90,44.71,69.87,-996,33.64,3.85,20.6,4.03,41.58,27.54,3.3,16.95,3.44,1003.15,11.09
2011,5,20,-996,-996,-996,-996,-996,-996,-996,-996,32.44,-996,-996,-996,-996,-996,-996
2011,5,21,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996
2011,5,22,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996
2011,5,23,-996,-996,-996,-996,-996,-996,-996,-996,35.81,-996,-996,-996,-996,-996,-996
2011,5,24,90.3,5.2,43.55,-996,43.75,4.97,19.39,9.27,53.87,34.49,0,14.51,7.96,1056.03,26.3
2011,5,25,58.8,26.33,38.96,-996,34.25,5.29,20.03,8.87,43.69,28.1,1.91,15.17,8.1,1144.18,29.71
2011,5,26,80.3,20.44,45.46,-996,19.24,1.49,9.79,3.79,25.43,15.47,1.51,7.54,3.14,1045.12,30.73
2011,5,27,78.82,7.34,42.99,-996,23.96,5.55,15.12,4.37,34.05,19.42,2.93,11.79,4.19,1047.64,-996
2011,5,28,73.76,20.91,39.23,-996,20,1.79,8.94,3.39,25.66,15.49,1.05,6.51,2.66,1040.08,31.66
2011,5,29,70.5,20.38,40.77,-996,36.89,15.48,25.71,4.01,45.01,29.51,11.87,20.54,3.43,983.84,29.65
2011,5,30,74.06,27.44,49.25,-996,34.4,15.79,26.23,3.29,44.43,27.85,12.57,21.02,2.72,1019.1,22.05
2011,5,31,80.7,40.69,60.44,-996,22.95,3.17,13.32,3.88,32.66,18.43,1.29,10.36,3.14,1108.08,26.76
2011,6,1,83.3,23.34,50.95,-996,25.32,5.65,15.09,4.8,33.17,20.15,3.74,12.12,4.22,1088.77,25.28
2011,6,2,52.94,12.47,31,-996,29.89,10.96,18.68,5.62,38.07,24.45,8.05,14.74,4.96,1100.52,25.04
2011,6,3,54.07,14.68,31.29,-996,30.11,8.26,18.05,6.01,41.65,24.2,5.42,14.15,5.42,1022.46,31.19
2011,6,4,62.88,10.7,32.67,-996,20.65,2.79,12.44,3.63,28.72,16.88,0.06,9.76,3.58,1260.86,31.88
2011,6,5,60.37,10.17,30.75,-996,18.86,3.99,11.56,3.53,29.08,16.09,2.06,8.77,3.63,1150.05,29.07
2011,6,6,57.15,12.7,30.9,-996,25.37,4.61,14.21,4.17,32.23,20.8,4.24,11.26,3.77,1071.98,30.39
2011,6,7,58.31,13.71,31.6,-996,25.93,8.45,17.27,4.45,35.43,21.05,5.68,13.78,3.97,1077.86,28.91
2011,6,8,57.08,13.75,33.74,-996,54.02,6.95,21.03,6.42,76.73,42.66,4.89,16.87,5.29,1013.22,29.35
2011,6,9,52.72,19.44,36.35,-996,29.35,5.19,18.42,5.43,37.63,23.6,3.2,14.77,4.7,990.56,29.21
2011,6,10,76.16,23.86,41.45,-996,43.37,3.97,14.41,5.25,58.67,35.41,2.43,11.36,4.26,995.59,28.86
2011,6,11,92.2,21.97,53.02,-996,22.82,1.63,11.66,5.75,29.95,18.34,0,8.95,5.21,1141.66,27.28
2011,6,12,62.34,16.44,35.16,-996,28.41,12.24,19.62,4.22,38.72,23.4,8.89,15.66,3.71,1018.26,30.49
2011,6,13,-996,-996,-996,-996,-996,-996,-996,-996,43.04,-996,-996,-996,-996,-996,-996
2011,6,14,62.69,12.02,30.49,-996,28.25,5.65,16.91,4.77,36.75,22.62,2.86,13.16,4.22,997.27,29.21
2011,6,15,69.95,21.84,43.67,-996,20.42,6.03,13.93,3.38,34.14,17.07,3.77,10.87,3.41,1022.46,30.41
2011,6,16,57.47,14.71,38.45,-996,47.22,10.95,22.97,6.98,63.86,38.92,7.94,18.39,5.82,1003.15,28.84
2011,6,17,53.69,3.72,23.3,-996,29.21,2.32,17.25,5.69,38.72,23.2,0,13.22,5.4,1049.32,30.97
2011,6,18,44.23,7.73,22.33,-996,27.47,0.4,14.59,5.58,35.3,20.76,0,10.77,4.97,1095.49,29.49
2011,6,19,53.5,9.79,27.88,-996,32.26,18.57,25.55,3,43.91,25.23,13.84,20.31,2.41,988.04,29.3
2011,6,20,58.96,5.31,28.55,-996,31.7,5.98,22.3,6.07,40.2,24.7,2.06,17.47,5.31,1040.92,29.71
2011,6,21,62.23,15.06,32.22,-996,14.74,1.12,8.14,2.63,20.83,12.21,0,5.72,2.9,1033.37,31.74
2011,6,22,44.79,14.04,25.86,-996,14.72,1.04,7.34,2.88,24.05,10.52,0,4.97,2.32,1028.33,30.43
2011,6,23,52.27,11.97,25.95,-996,23.53,2.74,13.99,5.85,34.05,18.79,0.55,10.98,5.16,1032.53,31.58
2011,6,24,59.77,13.3,31.37,-996,29.48,10.25,20.41,4.47,40.91,23.71,7.57,16.32,3.93,1035.05,31.24
2011,6,25,63.31,16.87,37.86,-996,25.52,14.85,20.25,2.48,37.78,20.74,11.44,16.32,2.17,1023.29,31.45
2011,6,26,61.16,16.98,36.52,-996,35.81,15.08,23.21,4.94,43.4,28.95,11.62,18.59,3.97,1013.22,30.68
2011,6,27,54.96,17.94,33.63,-996,24.27,1.59,13.56,5.52,30.11,19.24,1.12,10.65,4.53,1185.31,24.46
2011,6,28,75.75,21.6,44.38,-996,28.97,1.86,13.04,6.51,36.69,24.79,1.27,10.41,5.27,988.88,27.47
2011,6,29,60.22,20.5,36.33,-996,23.35,3.99,15.09,3.17,29.37,18.57,2.91,12.15,2.79,1108.08,23.32
2011,6,30,56.81,15.49,31.68,-996,21.85,6.7,13.61,4.09,37.63,18.45,3.96,10.64,4.16,1007.35,30.91
2011,7,1,56.51,16.78,32.24,-996,21.9,6.93,13.21,3.77,32.3,18.28,3.96,10.29,3.85,1097.17,30.07
2011,7,2,55.6,18.65,33.89,-996,15.33,0.99,9.16,2.78,27.76,13.34,0.3,7.16,2.76,1118.15,28.23
2011,7,3,58.24,17.86,35.16,-996,25.3,0.51,9.84,4.34,32.23,20.24,0,7.61,4.1,1234.84,29.64
2011,7,4,64.11,15.89,36.26,-996,15.18,1.95,8.06,2.46,20.67,11.49,1.5,6.14,2.13,1178.59,28.57
2011,7,5,59.34,14.84,31.74,-996,15.51,1.78,7.8,2.58,26.75,12.87,1.51,5.79,2.21,1158.45,30.13
2011,7,6,50.6,12.78,26.51,-996,15.25,2.08,8.36,2.65,22.95,11.49,1.38,6.35,2.28,1118.15,29.43
2011,7,7,43.06,12.24,25.25,-996,16.57,2.18,8.57,2.59,20.38,12.87,1.62,6.53,2.23,1009.86,28.46
2011,7,8,60.21,20.26,36.64,-996,20.33,2.29,10.17,3.48,25.5,16.44,1.62,8.2,2.8,1264.22,26.34
2011,7,9,53.49,13.14,29.12,-996,23.8,2.62,10.37,3.78,29.75,18.59,0.24,8,3.39,1266.74,26.04
2011,7,10,43.02,17.64,28.65,-996,19.82,3.21,12.14,3.87,28.14,16.49,0,9.34,4.01,995.59,29.65
2011,7,11,53.66,19.47,37,-996,30.58,1.83,11.92,4.32,37.33,24.63,1.53,9.48,3.69,1096.33,28.97
2011,7,12,86.3,26.58,48.27,-996,24.11,0.5,10.18,4.75,32.08,20.15,0,7.9,4.01,1043.44,26.12
2011,7,13,68.05,24.62,41,-996,20.78,1.58,9.89,4.12,26.24,17.04,0.27,7.46,3.76,1282.69,20.19
2011,7,14,43.29,15.05,28.08,-996,18.57,4.21,10.87,3.09,28.43,14.72,1.67,8.41,2.99,1028.33,30.58
2011,7,15,54.11,17.03,30.73,-996,16.17,3.18,8.96,2.69,25.57,14.27,1.93,6.87,2.55,1045.96,28.55
2011,7,16,56.68,17.22,32.47,-996,19.6,1.28,10.13,3.65,28.86,16.01,1.09,7.91,3.28,1064.43,28.72
2011,7,17,60.73,20.66,36.45,-996,15.32,2.92,8.27,2.72,23.96,13.58,0,6.27,2.96,1110.6,27.31
2011,7,18,55.64,20.06,34.6,-996,13.81,1.92,7.22,2.33,24.34,12,0,5.46,2.21,1166,28.27
2011,7,19,60.97,19.06,37.17,-996,18.9,4.04,10.13,2.98,25.43,14.66,2.06,7.97,2.8,1119.83,-996
2011,7,20,61.14,19.83,37.46,-996,18.34,7.84,13.2,2.64,33.76,15.4,5.29,10.75,2.48,1078.7,29.45
2011,7,21,61.81,20.08,37.29,-996,19.69,5.07,12.59,3.42,28.5,15.89,4.03,10.15,3.02,1094.65,28
2011,7,22,53.06,21.49,35.92,-996,19.39,6.57,12.64,2.97,27.25,15.9,4.01,10.02,2.9,1088.77,24.87
2011,7,23,55.61,19.89,34.67,-996,22.32,7.46,13.25,3.66,29.08,17.87,4.85,10.52,3.47,998.95,29.86
2011,7,24,48.57,16.52,30.63,-996,16.77,3.61,9.72,2.1,24.99,13.92,2.61,7.4,2.21,1109.76,29.38
2011,7,25,45.2,15.03,31.4,-996,25.75,1.62,8.73,4.63,36.1,20.71,0,6.47,4.02,1046.8,27.07
