STATION,NAME,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SN32,SNOW,SNWD,SX32,TMAX,TMIN,TOBS,WDMV,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
USC00348042,"SEMINOLE, OK US",2011-02-04,,,,,,0,,,,,-6.7,-16.7,-7.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-05,,,,,,8.9,,89,76,,-3.3,-16.7,-9.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-06,5,,26.2,,,26.2,,102,102,,7.2,-10,1.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-07,,,,,,2.5,,,,,6.7,-1.7,-1.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-08,,,,,,0,,,,,6.7,-4.4,-3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-09,,,,,,5.1,,51,51,,6.1,-12.2,-11.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-10,,,,,,10.2,,102,102,,-6.7,-20,-20,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-11,,,,,,0,,0,0,,1.1,-20.6,-11.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-12,,,,,,0,,0,0,,10.6,-11.7,-3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-13,,,,,,0,,,,,16.7,-3.9,5,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-14,,,,,,0,,0,0,,20,2.2,3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-15,,,,,,0,,,,,20.6,3.3,10.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-16,,,,,,0,,0,0,,23.3,10.6,11.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-17,,,,,,0,,,,,23.9,11.7,16.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-18,,,,,,0,,0,0,,25.6,10,15.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-19,,,,,,0,,0,0,,25.6,11.7,15.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-20,,,,,,0,,0,0,,23.9,14.4,17.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-21,,,,,,0,,0,0,,20.6,6.7,6.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-22,,,,,,0,,,,,9.4,-2.8,-2.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-23,,,,,,0,,0,0,,16.1,-2.8,12.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-24,,,,,,0,,,,,22.8,12.2,15.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-25,,,,,,10.4,,0,0,,21.7,0.6,0.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-26,,,,,,0,,0,0,,3.3,-1.1,1.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-27,,,,,,0,,0,0,,18.3,1.1,17.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-28,,,,,,0,,0,0,,24.4,3.3,3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-01,,,,,,0,,0,0,,16.7,-1.7,0,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-02,,,,,,0,,0,0,,21.7,-1.1,3.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-03,,,,,,0,,,,,21.1,3.3,8.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-04,,,,,,0,,0,0,,22.2,8.3,13.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-05,,,,,,0,,,,,19.4,0,0,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-06,,,,,,0,,0,0,,12.8,-4.4,-3.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-07,,,,,,0,,,,,15,-3.9,5.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-08,,,,,,0,,0,0,,12.2,5.6,10.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-09,,,,,,0.3,,0,0,,18.3,4.4,4.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-10,,,,,,0,,0,0,,18.3,-0.6,-0.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-11,,,,,,0,,0,0,,20,-0.6,6.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-12,,,,,,0,,,,,23.9,6.7,11.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-13,,,,,,0,,0,0,,24.4,11.7,12.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-14,,,,,,2.8,,,,,17.2,3.3,3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-15,,,,,,0,,0,0,,8.3,-1.7,-1.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-16,,,,,,0,,,,,20,-1.7,8.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-17,,,,,,0,,0,0,,23.9,7.8,17.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-18,,,,,,0,,0,0,,28.3,17.2,17.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-19,,,,,,0,,0,0,,28.3,11.7,12.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-20,,,,,,0,,0,0,,27.2,12.8,18.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-21,,,,,,0,,,,,25.6,17.8,17.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-22,,,,,,0,,,,,23.3,16.7,18.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-23,,,,,,0,,,,,26.7,12.2,12.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-24,,,,,,0,,0,0,,25,5.6,5.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-25,,,,,,0,,,,,20.6,4.4,13.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-26,,,,,,0,,0,0,,27.8,9.4,10.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-27,,,,,,0,,0,0,,12.8,2.8,3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-28,,,,,,0,,0,0,,6.7,3.3,4.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-29,,,,,,0.3,,0,0,,11.1,4.4,6.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-30,,,,,,0,,,,,11.1,3.9,5,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-03-31,,,,,,0,,0,0,,11.7,0,1.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-01,,,,,,0,,,,,24.4,1.1,8.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-02,,,,,,0,,0,0,,30,7.2,8.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-03,,,,,,0,,,,,28.9,7.2,20,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-04,,,,,,0,,0,0,,29.4,10.6,10.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-05,,,,,,0,,0,0,,17.2,-0.6,-0.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-06,,,,,,0,,0,0,,23.3,-0.6,13.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-07,,,,,,0,,0,0,,28.9,13.3,17.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-08,,,,,,0,,,,,30,12.8,16.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-09,,,,,,0,,0,0,,30.6,16.7,20.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-10,,,,,,0,,0,0,,31.1,20,21.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-11,,,,,,0,,0,0,,32.2,13.9,13.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-12,,,,,,0,,,,,25,4.4,4.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-13,,,,,,0,,0,0,,27.2,4.4,10,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-14,,,,,,0,,0,0,,28.3,9.4,15.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-15,,,,,,0,,0,0,,27.8,8.3,8.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-16,,,,,,0,,0,0,,15.6,6.1,6.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-17,,,,,,0,,,,,25,6.1,12.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-18,,,,,,0,,0,0,,26.1,12.2,17.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-19,,,,,,0,,,,,32.2,17.2,22.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-20,,,,,,0,,0,0,,30.6,7.8,7.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-21,,,,,,0,,,,,19.4,7.8,12.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-22,,,,,,0,,0,0,,18.9,12.2,18.9,,,,1,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-23,,,,,,5.6,,0,0,,31.7,18.9,21.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-24,,,,,,3.8,,0,0,,21.7,11.1,11.7,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-04-25,,,,,,57.2,,0,0,,15.6,11.7,15,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-26,,,,,,0.3,,,,,22.2,7.2,7.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-27,,,,,,0.8,,0,0,,19.4,7.2,11.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-28,,,,,,6.4,,,,,16.7,5.6,6.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-29,,,,,,0,,0,0,,26.1,6.1,10.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-04-30,,,,,,0,,,,,26.1,10.6,16.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-01,,,,,,1.3,,0,0,,26.1,10.6,10.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-02,,,,,,4.1,,0,0,,10.6,4.4,6.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-03,,,,,,0,,0,0,,11.7,1.1,2.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-04,,,,,,0,,0,0,,23.3,2.2,7.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-05,,,,,,0,,,,,23.9,7.8,11.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-06,,,,,,0,,0,0,,27.2,6.7,6.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-07,,,,,,0,,,,,27.8,6.7,17.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-08,,,,,,0,,0,0,,31.1,17.8,19.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-09,,,,,,0,,,,,30,18.9,21.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-10,,,,,,0,,0,0,,31.1,19.4,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-11,,,,,,0,,0,0,,27.2,19.4,20,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-12,,,,,,8.1,,0,0,,26.1,14.4,15,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-05-13,,,,,,1.8,,0,0,,26.1,12.2,12.2,,,,,1,,1,,
USC00348042,"SEMINOLE, OK US",2011-05-14,,,,,,0,,,,,18.9,9.4,9.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-15,,,,,,0,,0,0,,21.1,6.7,6.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-16,,,,,,0,,,,,22.8,6.7,7.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-17,,,,,,0,,0,0,,25,7.2,8.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-18,,,,,,0,,,,,25.6,7.8,15.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-19,,,,,,0,,0,0,,25.6,15.6,21.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-20,,,,,,0,,0,0,,26.1,21.1,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-21,,,,,,40.1,,0,0,,23.3,16.1,17.8,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-05-22,,,,,,0.3,,0,0,,28.3,17.8,22.8,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-05-23,,,,,,0.8,,,,,33.3,19.4,20,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-24,,,,,,0,,0,0,,26.7,18.3,19.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-25,,,,,,0.5,,,,,28.9,18.9,18.9,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-05-26,,,,,,0,,0,0,,26.7,14.4,14.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-27,,,,,,0,,,,,27.2,14.4,15,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-28,,,,,,0,,0,0,,30,15,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-29,,,,,,0,,0,0,,32.2,22.2,22.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-30,,,,,,0,,0,0,,31.7,22.2,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-05-31,,,,,,0,,0,0,,31.7,22.8,24.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-01,,,,,,0,,,,,30.6,22.2,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-02,,,,,,0,,0,0,,33.3,22.2,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-03,,,,,,0,,,,,33.9,22.2,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-04,,,,,,0,,0,0,,35.6,21.1,21.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-05,,,,,,0,,,,,35.6,20.6,21.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-06,,,,,,0,,0,0,,36.1,20.6,20.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-07,,,,,,0,,0,0,,36.7,20.6,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-08,,,,,,0,,0,0,,35.6,22.8,25,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-09,,,,,,0,,0,0,,33.3,22.2,22.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-10,,,,,,0,,,,,34.4,22.2,23.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-11,,,,,,0,,0,0,,34.4,21.1,21.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-12,,,,,,29.2,,,,,33.9,18.9,19.4,,,,,1,,1,,
USC00348042,"SEMINOLE, OK US",2011-06-13,,,,,,0,,0,0,,35,19.4,23.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-14,,,,,,0,,,,,36.7,23.9,27.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-15,,,,,,2,,0,0,,35.6,18.9,18.9,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-06-16,,,,,,0,,0,0,,37.2,18.9,23.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-17,,,,,,0,,0,0,,36.1,22.8,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-18,,,,,,0,,0,0,,37.2,26.1,27.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-19,,,,,,0,,,,,37.8,24.4,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-20,,,,,,0,,0,0,,36.7,25.6,26.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-21,,,,,,0,,,,,34.4,21.7,21.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-22,,,,,,0,,0,0,,37.2,18.3,18.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-23,,,,,,0,,,,,38.3,17.8,20.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-24,,,,,,0,,0,0,,38.9,20.6,23.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-25,,,,,,0,,0,0,,37.2,23.9,24.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-26,,,,,,0,,0,0,,36.1,24.4,25.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-27,,,,,,0,,,,,36.7,25.6,27.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-28,,,,,,0,,,,,41.1,23.9,23.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-29,,,,,,0.5,,0,0,,36.1,22.2,24.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-06-30,,,,,,0,,0,0,,37.8,23.9,23.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-01,,,,,,0,,0,0,,38.9,22.2,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-02,,,,,,0,,,,,39.4,22.8,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-03,,,,,,0,,0,0,,39.4,22.2,23.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-04,,,,,,0,,0,0,,39.4,23.9,23.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-05,,,,,,0,,0,0,,40.6,22.2,22.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-06,,,,,,0,,0,0,,40,22.2,23.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-07,,,,,,0,,,,,40.6,23.9,27.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-08,,,,,,0,,0,0,,42.8,24.4,25.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-09,,,,,,0,,,,,39.4,25,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-10,,,,,,0,,0,0,,42.8,26.7,29.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-11,,,,,,0,,,,,40,25.6,25.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-12,,,,,,0,,0,0,,38.9,25.6,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-13,,,,,,12.7,,0,0,,37.8,25,25,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-07-14,,,,,,0,,0,0,,40,24.4,24.4,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-07-15,,,,,,0,,0,0,,41.1,24.4,25,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-16,,,,,,0,,,,,42.8,25,28.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-17,,,,,,0,,0,0,,41.7,26.7,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-18,,,,,,0,,,,,41.7,26.1,27.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-19,,,,,,0,,0,0,,41.7,25.6,25.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-20,,,,,,0,,,,,40,25.6,26.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-21,,,,,,0,,0,0,,38.3,25,25.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-22,,,,,,0,,0,0,,39.4,25,25.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-23,,,,,,0,,0,0,,39.4,25,27.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-24,,,,,,0,,0,0,,40,25,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-25,,,,,,13.7,,,,,43.9,25,25,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-07-26,,,,,,0.3,,0,0,,37.8,25,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-27,,,,,,0,,,,,38.9,26.1,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-28,,,,,,0,,0,0,,42.2,26.7,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-29,,,,,,0,,0,0,,41.7,25.6,26.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-30,,,,,,0,,0,0,,38.9,25.6,25.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-07-31,,,,,,0,,0,0,,38.9,25.6,26.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-01,,,,,,0,,0,0,,41.7,26.1,27.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-02,,,,,,0,,0,0,,43.3,27.2,27.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-03,,,,,,0,,,,,43.9,27.2,30,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-04,,,,,,0,,0,0,,45.6,28.3,28.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-05,,,,,,0,,,,,42.2,27.8,27.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-06,,,,,,0,,0,0,,43.9,27.8,28.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-07,,,,,,0,,,,,42.8,27.8,28.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-08,,,,,,0,,0,0,,38.9,27.2,29.4,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-08-09,,,,,,1.3,,0,0,,42.2,23.9,23.9,,,,,1,,,,1
USC00348042,"SEMINOLE, OK US",2011-08-10,,,,,,12.2,,0,0,,42.8,22.2,22.2,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-08-11,,,,,,0,,0,0,,37.2,22.2,22.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-12,,,,,,15,,,,,28.9,20,21.7,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-08-13,,,,,,0.5,,0,0,,37.8,21.1,21.7,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-08-14,,,,,,0,,,,,37.2,21.1,22.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-15,,,,,,0,,0,0,,37.8,22.2,23.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-16,,,,,,0,,,,,37.8,22.8,26.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-17,,,,,,0,,0,0,,38.3,26.1,26.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-08-18,,,,,,2.5,,0,0,,38.3,23.9,23.9,,,,,1,,,,
USC00348042,"SEMINOLE, OK US",2011-08-19,,,,,,0,,0,0,,40.6,23.9,25,,,,,,,,,
